"worse_city","province","count"
"Beijing","Beijing",5
"Changchun","Jilin",1
"Harbin","Heilongjiang",3
"Hengshui","Hebei",5
"Hengyang","Hunan",4
"Huainan","Anhui",3
"Jining","Shandong",9
"Jiuquan","Gansu",1
"Kaifeng","Henan",15
"Laibin","Guangxi",3
"Liaoyuan","Jilin",1
"Linfen","Shanxi",4
"Panjin","Liaoning",8
"Pingxiang","Jiangxi",1
"Puyang","Henan",15
"Shanghai","Shanghai",1
"Shihezi","Xinjiang Uygur",40
"Shijiazhuang","Hebei",5
"Siping","Jilin",1
"Suqian","Jiangsu",5
"Suzhou","Anhui",3
"Tianjin","Tianjin",1
"Wulanchabu","Nei Mongol",2
"Xiangyang","Hubei",9
"Xianyang","Shaanxi",15
"Xingtai","Hebei",5
"Xuchang","Henan",15
"Yibin","Sichuan",4
"Zhuzhou","Hunan",4
