"keyregion2018","method","2018Q4","2019Q1","2019Q4","2020Q1","2020Q4","2021Q1"
"2+26","Official",6,14,5,-,-,-
"2+26","City with sandstorm",3.92,7.78,3.95,8.07,3.64,4.16
"2+26","City without sandstorm",4.18,7.63,3.95,8.04,3.64,4.16
"2+26","Station with sandstorm",12.35,34.11,14.52,34.64,8.81,13.5
"2+26","Station without sandstorm",12.13,33.64,14.52,34.64,8.81,13.5
"Fenwei","Official",3,16,5,-,-,-
"Fenwei","City with sandstorm",1.4,12.6,5.5,9,2.17,3.56
"Fenwei","City without sandstorm",1.4,12.5,5.5,9,2.17,3.56
"Fenwei","Station with sandstorm",9,66.45,30.67,48,9.14,16.33
"Fenwei","Station without sandstorm",9,66.18,30.67,48,9.14,16.33
"YRD","Official",1,2,0,-,-,-
"YRD","City with sandstorm",1.83,2.27,-,1.44,1,-
"YRD","City without sandstorm",1.83,2.27,-,1.44,1,-
"YRD","Station with sandstorm",5.53,6.79,-,3.58,3.45,-
"YRD","Station without sandstorm",5.53,6.79,-,3.58,3.45,-
